dyad,proposer,responder,condition,session,offer,experience
AFT,Frodo,Azibo,dyadic,3,0.4375,2
AFT,Frodo,Azibo,dyadic,7,0.53125,2
AFT,Frodo,Azibo,dyadic,11,0.65625,2
AFT,Frodo,Azibo,dyadic,15,0.59375,2
AFT,Tai,Azibo,dyadic,1,0.5,3
AFT,Tai,Azibo,dyadic,5,0.75,3
AFT,Tai,Azibo,dyadic,9,0.28125,3
AFT,Tai,Azibo,dyadic,13,0.09375,3
ARD,Azibo,Dorien,dyadic,1,0.5625,1
ARD,Azibo,Dorien,dyadic,5,0.15625,1
ARD,Azibo,Dorien,dyadic,9,0.28125,1
ARD,Azibo,Dorien,dyadic,13,0.8125,1
ARD,Riet,Dorien,dyadic,3,0.375,1
ARD,Riet,Dorien,dyadic,7,0.375,1
ARD,Riet,Dorien,dyadic,11,0.34375,1
FRS,Frodo,Shanga,dyadic,1,0.90625,1
FRS,Frodo,Shanga,dyadic,5,0.28125,1
FRS,Frodo,Shanga,dyadic,9,0.5,1
FRS,Frodo,Shanga,dyadic,13,0.46875,1
FRS,Riet,Shanga,dyadic,3,0.5625,2
FRS,Riet,Shanga,dyadic,7,0.4375,2
FRS,Riet,Shanga,dyadic,11,0.65625,2
FRS,Riet,Shanga,dyadic,15,0.1875,2
FSR,Frodo,Riet,dyadic,2,0.71875,3
FSR,Frodo,Riet,dyadic,6,0.4375,3
FSR,Frodo,Riet,dyadic,10,0.46875,3
FSR,Frodo,Riet,dyadic,14,0.5625,3
FSR,Sandra,Riet,dyadic,4,0.5,3
FSR,Sandra,Riet,dyadic,8,0.34375,3
FSR,Sandra,Riet,dyadic,12,0.28125,3
FSR,Sandra,Riet,dyadic,16,0.3125,3
RST,Riet,Sandra,dyadic,4,0.4375,3
RST,Riet,Sandra,dyadic,8,0.375,3
RST,Riet,Sandra,dyadic,12,0.34375,3
RST,Riet,Sandra,dyadic,16,0.6875,3
RST,Tai,Sandra,dyadic,2,0,2
RST,Tai,Sandra,dyadic,6,0.5625,2
RST,Tai,Sandra,dyadic,10,0.3125,2
RST,Tai,Sandra,dyadic,14,0.03125,2
SAT,Azibo,Tai,dyadic,2,0.3125,2
SAT,Azibo,Tai,dyadic,6,0.53125,2
SAT,Azibo,Tai,dyadic,10,0.5,2
SAT,Azibo,Tai,dyadic,14,0.375,2
SAT,Sandra,Tai,dyadic,4,0.40625,2
SAT,Sandra,Tai,dyadic,8,0.40625,2
SAT,Sandra,Tai,dyadic,12,0.5625,2
SAT,Sandra,Tai,dyadic,16,0.53125,2
TSF,Sandra,Frodo,dyadic,4,0.25,1
TSF,Sandra,Frodo,dyadic,8,0.53125,1
