triad_id,proposer_id,responder_id,session,game_type,total_offer,first_offer.x,fourth_offer.x,final_offer.x,N.x,type_trial,total_offer_prop,first_half_offer,first_offer.y,fourth_offer.y,final_offer.y,N.y,first_half_offer_prop,consec
AFT,Frodo,Azibo,1,dyadic,3,2,0,0,4,right,0.09375,3,2,0,0,4,0.09375,0
AFT,Frodo,Azibo,2,triadic,11,4,0,2,8,cons_right,0.171875,4,4,0,0,4,0.125,0.5
AFT,Frodo,Azibo,3,dyadic,14,2,5,5,4,left,0.4375,14,2,5,5,4,0.4375,0
AFT,Frodo,Azibo,4,triadic,31,2,4,3,8,cons_left,0.484375,11,2,4,4,4,0.34375,0.5
AFT,Frodo,Azibo,5,dyadic,1,0,1,1,4,right,0.03125,1,0,1,1,4,0.03125,0
AFT,Frodo,Azibo,6,triadic,8,0,1,1,8,simultaneous,0.125,2,0,1,1,4,0.0625,-0.5
AFT,Frodo,Azibo,7,dyadic,17,5,4,4,4,left,0.53125,17,5,4,4,4,0.53125,0
AFT,Frodo,Azibo,8,triadic,36,6,1,6,8,cons_right,0.5625,16,6,1,1,4,0.5,0.5
AFT,Frodo,Azibo,9,dyadic,7,1,3,3,4,right,0.21875,7,1,3,3,4,0.21875,0
AFT,Frodo,Azibo,10,triadic,13,2,1,3,8,simultaneous,0.203125,5,2,1,1,4,0.15625,-0.5
AFT,Frodo,Azibo,11,dyadic,21,5,7,7,4,left,0.65625,21,5,7,7,4,0.65625,0
AFT,Frodo,Azibo,12,triadic,29,3,4,6,8,simultaneous,0.453125,13,3,4,4,4,0.40625,-0.5
AFT,Frodo,Azibo,13,dyadic,3,0,0,0,4,right,0.09375,3,0,0,0,4,0.09375,0
AFT,Frodo,Azibo,14,triadic,22,2,3,1,8,cons_left,0.34375,13,2,3,3,4,0.40625,0.5
AFT,Frodo,Azibo,15,dyadic,19,5,5,5,4,left,0.59375,19,5,5,5,4,0.59375,0
AFT,Frodo,Azibo,16,triadic,36,5,4,3,8,simultaneous,0.5625,15,5,4,4,4,0.46875,-0.5
AFT,Tai,Azibo,1,dyadic,16,0,5,5,4,left,0.5,16,0,5,5,4,0.5,0
AFT,Tai,Azibo,2,triadic,30,7,2,6,8,cons_right,0.46875,17,7,2,2,4,0.53125,0.5
AFT,Tai,Azibo,3,dyadic,8,3,0,0,4,right,0.25,8,3,0,0,4,0.25,0
AFT,Tai,Azibo,4,triadic,19,1,5,4,8,cons_left,0.296875,10,1,5,5,4,0.3125,0.5
AFT,Tai,Azibo,5,dyadic,24,5,7,7,4,left,0.75,24,5,7,7,4,0.75,0
AFT,Tai,Azibo,6,triadic,31,1,6,5,8,simultaneous,0.484375,13,1,6,6,4,0.40625,-0.5
AFT,Tai,Azibo,7,dyadic,12,1,4,4,4,right,0.375,12,1,4,4,4,0.375,0
AFT,Tai,Azibo,8,triadic,31,1,3,6,8,cons_right,0.484375,15,1,3,3,4,0.46875,0.5
AFT,Tai,Azibo,9,dyadic,9,1,0,0,4,left,0.28125,9,1,0,0,4,0.28125,0
AFT,Tai,Azibo,10,triadic,10,2,0,1,8,simultaneous,0.15625,7,2,0,0,4,0.21875,-0.5
AFT,Tai,Azibo,11,dyadic,7,0,1,1,4,right,0.21875,7,0,1,1,4,0.21875,0
AFT,Tai,Azibo,12,triadic,22,2,4,3,8,simultaneous,0.34375,10,2,4,4,4,0.3125,-0.5
AFT,Tai,Azibo,13,dyadic,3,1,2,2,4,left,0.09375,3,1,2,2,4,0.09375,0
AFT,Tai,Azibo,14,triadic,3,0,0,1,8,cons_left,0.046875,1,0,0,0,4,0.03125,0.5
AFT,Tai,Azibo,15,dyadic,16,6,2,2,4,right,0.5,16,6,2,2,4,0.5,0
AFT,Tai,Azibo,16,triadic,25,1,2,7,8,simultaneous,0.390625,8,1,2,2,4,0.25,-0.5
ARD,Azibo,Dorien,1,dyadic,18,8,1,1,4,left,0.5625,18,8,1,1,4,0.5625,0
ARD,Azibo,Dorien,2,triadic,15,1,6,4,8,cons_left,0.234375,7,1,6,6,4,0.21875,0.5
ARD,Azibo,Dorien,3,dyadic,32,8,8,8,4,right,0.9999,32,8,8,8,4,0.9999,0
ARD,Azibo,Dorien,4,triadic,52,0,7,8,8,simultaneous,0.8125,21,0,7,7,4,0.65625,-0.5
ARD,Azibo,Dorien,5,dyadic,5,2,0,0,4,left,0.15625,5,2,0,0,4,0.15625,0
ARD,Azibo,Dorien,6,triadic,18,0,0,8,8,cons_right,0.28125,0,0,0,0,4,1e-4,0.5
ARD,Azibo,Dorien,7,dyadic,29,7,8,8,4,right,0.90625,29,7,8,8,4,0.90625,0
ARD,Azibo,Dorien,8,triadic,42,0,8,8,8,simultaneous,0.65625,10,0,8,8,4,0.3125,-0.5
ARD,Azibo,Dorien,9,dyadic,9,0,8,8,4,left,0.28125,9,0,8,8,4,0.28125,0
ARD,Azibo,Dorien,10,triadic,28,0,1,8,8,simultaneous,0.4375,6,0,1,1,4,0.1875,-0.5
ARD,Azibo,Dorien,11,dyadic,32,8,8,8,4,right,0.9999,32,8,8,8,4,0.9999,0
ARD,Azibo,Dorien,12,triadic,52,7,7,8,7,cons_right,0.9285714285714286,30,7,7,7,4,0.9375,0.5
ARD,Azibo,Dorien,13,dyadic,26,6,8,8,4,left,0.8125,26,6,8,8,4,0.8125,0
ARD,Azibo,Dorien,14,triadic,35,0,5,8,8,simultaneous,0.546875,12,0,5,5,4,0.375,-0.5
ARD,Riet,Dorien,1,dyadic,13,3,2,2,4,right,0.40625,13,3,2,2,4,0.40625,0
ARD,Riet,Dorien,2,triadic,0,0,0,0,8,cons_left,1e-4,0,0,0,0,4,1e-4,0.5
ARD,Riet,Dorien,3,dyadic,12,0,4,4,4,left,0.375,12,0,4,4,4,0.375,0
ARD,Riet,Dorien,4,triadic,13,0,0,2,8,simultaneous,0.203125,0,0,0,0,4,1e-4,-0.5
ARD,Riet,Dorien,5,dyadic,5,0,0,0,4,right,0.15625,5,0,0,0,4,0.15625,0
ARD,Riet,Dorien,6,triadic,17,0,4,3,8,cons_right,0.265625,11,0,4,4,4,0.34375,0.5
ARD,Riet,Dorien,7,dyadic,12,5,1,1,4,left,0.375,12,5,1,1,4,0.375,0
ARD,Riet,Dorien,8,triadic,30,4,1,4,8,simultaneous,0.46875,15,4,1,1,4,0.46875,-0.5
ARD,Riet,Dorien,9,dyadic,10,3,4,4,4,right,0.3125,10,3,4,4,4,0.3125,0
ARD,Riet,Dorien,10,triadic,16,0,1,2,8,simultaneous,0.25,7,0,1,1,4,0.21875,-0.5
ARD,Riet,Dorien,11,dyadic,11,3,3,3,4,left,0.34375,11,3,3,3,4,0.34375,0
ARD,Riet,Dorien,12,triadic,11,0,0,3,7,cons_right,0.19642857142857142,2,0,0,0,4,0.0625,0.5
ARD,Riet,Dorien,13,dyadic,9,4,1,1,4,right,0.28125,9,4,1,1,4,0.28125,0
ARD,Riet,Dorien,14,triadic,25,0,6,6,8,simultaneous,0.390625,7,0,6,6,4,0.21875,-0.5
FRS,Frodo,Shanga,1,dyadic,29,7,6,6,4,left,0.90625,29,7,6,6,4,0.90625,0
FRS,Frodo,Shanga,2,triadic,50,7,8,6,8,simultaneous,0.78125,24,7,8,8,4,0.75,-0.5
FRS,Frodo,Shanga,3,dyadic,22,8,4,4,4,right,0.6875,22,8,4,4,4,0.6875,0
FRS,Frodo,Shanga,4,triadic,38,1,8,4,8,cons_right,0.59375,22,1,8,8,4,0.6875,0.5
FRS,Frodo,Shanga,5,dyadic,9,0,0,0,4,left,0.28125,9,0,0,0,4,0.28125,0
FRS,Frodo,Shanga,6,triadic,33,0,6,5,8,cons_left,0.515625,16,0,6,6,4,0.5,0.5
FRS,Frodo,Shanga,7,dyadic,9,2,3,3,4,right,0.28125,9,2,3,3,4,0.28125,0
FRS,Frodo,Shanga,8,triadic,22,1,5,5,8,simultaneous,0.34375,13,1,5,5,4,0.40625,-0.5
FRS,Frodo,Shanga,9,dyadic,16,7,3,3,4,left,0.5,16,7,3,3,4,0.5,0
FRS,Frodo,Shanga,10,triadic,35,2,2,5,8,cons_right,0.546875,16,2,2,2,4,0.5,0.5
FRS,Frodo,Shanga,11,dyadic,3,0,1,1,4,right,0.09375,3,0,1,1,4,0.09375,0
FRS,Frodo,Shanga,12,triadic,14,1,2,1,8,simultaneous,0.21875,6,1,2,2,4,0.1875,-0.5
FRS,Frodo,Shanga,13,dyadic,15,6,5,5,4,left,0.46875,15,6,5,5,4,0.46875,0
FRS,Frodo,Shanga,14,triadic,16,0,1,4,8,simultaneous,0.25,6,0,1,1,4,0.1875,-0.5
FRS,Frodo,Shanga,15,dyadic,4,1,1,1,4,right,0.125,4,1,1,1,4,0.125,0
FRS,Frodo,Shanga,16,triadic,13,2,3,3,8,cons_left,0.203125,7,2,3,3,4,0.21875,0.5
FRS,Riet,Shanga,1,dyadic,18,6,2,2,4,right,0.5625,18,6,2,2,4,0.5625,0
FRS,Riet,Shanga,2,triadic,10,2,0,1,8,simultaneous,0.15625,2,2,0,0,4,0.0625,-0.5
FRS,Riet,Shanga,3,dyadic,18,6,5,5,4,left,0.5625,18,6,5,5,4,0.5625,0
FRS,Riet,Shanga,4,triadic,24,0,7,3,8,cons_right,0.375,17,0,7,7,4,0.53125,0.5
FRS,Riet,Shanga,5,dyadic,11,4,1,1,4,right,0.34375,11,4,1,1,4,0.34375,0
FRS,Riet,Shanga,6,triadic,0,0,0,0,8,cons_left,1e-4,0,0,0,0,4,1e-4,0.5
FRS,Riet,Shanga,7,dyadic,14,8,0,0,4,left,0.4375,14,8,0,0,4,0.4375,0
FRS,Riet,Shanga,8,triadic,20,2,0,4,8,simultaneous,0.3125,3,2,0,0,4,0.09375,-0.5
FRS,Riet,Shanga,9,dyadic,7,5,0,0,4,right,0.21875,7,5,0,0,4,0.21875,0
FRS,Riet,Shanga,10,triadic,43,8,5,8,8,cons_right,0.671875,19,8,5,5,4,0.59375,0.5
FRS,Riet,Shanga,11,dyadic,21,4,8,8,4,left,0.65625,21,4,8,8,4,0.65625,0
FRS,Riet,Shanga,12,triadic,20,4,3,0,8,simultaneous,0.3125,18,4,3,3,4,0.5625,-0.5
FRS,Riet,Shanga,13,dyadic,5,2,3,3,4,right,0.15625,5,2,3,3,4,0.15625,0
FRS,Riet,Shanga,14,triadic,7,0,0,0,8,simultaneous,0.109375,5,0,0,0,4,0.15625,-0.5
FRS,Riet,Shanga,15,dyadic,6,3,2,2,4,left,0.1875,6,3,2,2,4,0.1875,0
FRS,Riet,Shanga,16,triadic,11,0,2,1,8,cons_left,0.171875,5,0,2,2,4,0.15625,0.5
FSR,Frodo,Riet,1,triadic,34,1,5,5,8,cons_right,0.53125,15,1,5,5,4,0.46875,0.5
FSR,Frodo,Riet,2,dyadic,23,4,7,7,4,left,0.71875,23,4,7,7,4,0.71875,0
FSR,Frodo,Riet,3,triadic,32,2,3,7,8,cons_left,0.5,12,2,3,3,4,0.375,0.5
FSR,Frodo,Riet,4,dyadic,8,2,3,3,4,right,0.25,8,2,3,3,4,0.25,0
FSR,Frodo,Riet,5,triadic,36,8,2,2,8,simultaneous,0.5625,19,8,2,2,4,0.59375,-0.5
FSR,Frodo,Riet,6,dyadic,14,4,4,4,4,left,0.4375,14,4,4,4,4,0.4375,0
FSR,Frodo,Riet,7,triadic,3,1,0,0,8,cons_right,0.046875,2,1,0,0,4,0.0625,0.5
FSR,Frodo,Riet,8,dyadic,9,2,4,4,4,right,0.28125,9,2,4,4,4,0.28125,0
FSR,Frodo,Riet,9,triadic,36,5,3,6,8,simultaneous,0.5625,19,5,3,3,4,0.59375,-0.5
FSR,Frodo,Riet,10,dyadic,15,5,3,3,4,left,0.46875,15,5,3,3,4,0.46875,0
FSR,Frodo,Riet,11,triadic,16,0,3,2,8,simultaneous,0.25,6,0,3,3,4,0.1875,-0.5
FSR,Frodo,Riet,12,dyadic,12,3,4,4,4,right,0.375,12,3,4,4,4,0.375,0
FSR,Frodo,Riet,13,triadic,43,6,6,6,8,cons_left,0.671875,23,6,6,6,4,0.71875,0.5
FSR,Frodo,Riet,14,dyadic,18,6,3,3,4,left,0.5625,18,6,3,3,4,0.5625,0
FSR,Frodo,Riet,15,triadic,11,1,1,2,8,simultaneous,0.171875,3,1,1,1,4,0.09375,-0.5
FSR,Frodo,Riet,16,dyadic,9,2,5,5,4,right,0.28125,9,2,5,5,4,0.28125,0
FSR,Sandra,Riet,1,triadic,28,2,3,2,8,cons_right,0.4375,13,2,3,3,4,0.40625,0.5
FSR,Sandra,Riet,2,dyadic,11,4,1,1,4,right,0.34375,11,4,1,1,4,0.34375,0
FSR,Sandra,Riet,3,triadic,21,3,2,3,8,cons_left,0.328125,10,3,2,2,4,0.3125,0.5
FSR,Sandra,Riet,4,dyadic,16,5,2,2,4,left,0.5,16,5,2,2,4,0.5,0
FSR,Sandra,Riet,5,triadic,25,0,2,6,8,simultaneous,0.390625,12,0,2,2,4,0.375,-0.5
FSR,Sandra,Riet,6,dyadic,6,1,1,1,4,right,0.1875,6,1,1,1,4,0.1875,0
FSR,Sandra,Riet,7,triadic,28,6,3,4,8,cons_right,0.4375,15,6,3,3,4,0.46875,0.5
FSR,Sandra,Riet,8,dyadic,11,2,2,2,4,left,0.34375,11,2,2,2,4,0.34375,0
FSR,Sandra,Riet,9,triadic,23,5,1,3,8,simultaneous,0.359375,11,5,1,1,4,0.34375,-0.5
FSR,Sandra,Riet,10,dyadic,10,2,2,2,4,right,0.3125,10,2,2,2,4,0.3125,0
FSR,Sandra,Riet,11,triadic,24,2,4,3,8,simultaneous,0.375,12,2,4,4,4,0.375,-0.5
FSR,Sandra,Riet,12,dyadic,9,2,2,2,4,left,0.28125,9,2,2,2,4,0.28125,0
FSR,Sandra,Riet,13,triadic,35,2,4,3,8,cons_left,0.546875,15,2,4,4,4,0.46875,0.5
FSR,Sandra,Riet,14,dyadic,9,3,2,2,4,right,0.28125,9,3,2,2,4,0.28125,0
FSR,Sandra,Riet,15,triadic,18,3,2,3,8,simultaneous,0.28125,10,3,2,2,4,0.3125,-0.5
FSR,Sandra,Riet,16,dyadic,10,2,2,2,4,left,0.3125,10,2,2,2,4,0.3125,0
RST,Riet,Sandra,1,triadic,29,4,6,2,8,simultaneous,0.453125,16,4,6,6,4,0.5,-0.5
RST,Riet,Sandra,2,dyadic,20,8,1,1,4,right,0.625,20,8,1,1,4,0.625,0
RST,Riet,Sandra,3,triadic,28,1,7,3,8,cons_right,0.4375,16,1,7,7,4,0.5,0.5
RST,Riet,Sandra,4,dyadic,14,1,6,6,4,left,0.4375,14,1,6,6,4,0.4375,0
RST,Riet,Sandra,5,triadic,34,5,6,5,8,cons_right,0.53125,18,5,6,6,4,0.5625,0.5
RST,Riet,Sandra,6,dyadic,25,7,7,7,4,right,0.78125,25,7,7,7,4,0.78125,0
RST,Riet,Sandra,7,triadic,25,3,0,0,8,simultaneous,0.390625,12,3,0,0,4,0.375,-0.5
RST,Riet,Sandra,8,dyadic,12,5,1,1,4,left,0.375,12,5,1,1,4,0.375,0
RST,Riet,Sandra,9,triadic,19,6,2,0,8,cons_left,0.296875,16,6,2,2,4,0.5,0.5
RST,Riet,Sandra,10,dyadic,16,0,3,3,4,right,0.5,16,0,3,3,4,0.5,0
RST,Riet,Sandra,11,triadic,21,2,0,5,8,simultaneous,0.328125,6,2,0,0,4,0.1875,-0.5
RST,Riet,Sandra,12,dyadic,11,3,3,3,4,left,0.34375,11,3,3,3,4,0.34375,0
RST,Riet,Sandra,13,triadic,31,4,3,5,8,simultaneous,0.484375,15,4,3,3,4,0.46875,-0.5
RST,Riet,Sandra,14,dyadic,19,7,3,3,4,right,0.59375,19,7,3,3,4,0.59375,0
RST,Riet,Sandra,15,triadic,43,1,7,7,8,cons_left,0.671875,22,1,7,7,4,0.6875,0.5
RST,Riet,Sandra,16,dyadic,22,5,4,4,4,left,0.6875,22,5,4,4,4,0.6875,0
RST,Tai,Sandra,1,triadic,7,0,0,1,8,simultaneous,0.109375,1,0,0,0,4,0.03125,-0.5
RST,Tai,Sandra,2,dyadic,0,0,0,0,4,left,1e-4,0,0,0,0,4,1e-4,0
RST,Tai,Sandra,3,triadic,11,0,1,3,8,cons_right,0.171875,2,0,1,1,4,0.0625,0.5
RST,Tai,Sandra,4,dyadic,5,0,1,1,4,right,0.15625,5,0,1,1,4,0.15625,0
RST,Tai,Sandra,5,triadic,28,0,0,6,8,cons_right,0.4375,10,0,0,0,4,0.3125,0.5
RST,Tai,Sandra,6,dyadic,18,0,4,4,4,left,0.5625,18,0,4,4,4,0.5625,0
RST,Tai,Sandra,7,triadic,21,4,5,1,8,simultaneous,0.328125,16,4,5,5,4,0.5,-0.5
RST,Tai,Sandra,8,dyadic,9,0,6,6,4,right,0.28125,9,0,6,6,4,0.28125,0
RST,Tai,Sandra,9,triadic,31,4,6,1,8,cons_left,0.484375,22,4,6,6,4,0.6875,0.5
RST,Tai,Sandra,10,dyadic,10,7,1,1,4,left,0.3125,10,7,1,1,4,0.3125,0
RST,Tai,Sandra,11,triadic,20,2,1,4,8,simultaneous,0.3125,11,2,1,1,4,0.34375,-0.5
RST,Tai,Sandra,12,dyadic,11,2,6,6,4,right,0.34375,11,2,6,6,4,0.34375,0
RST,Tai,Sandra,13,triadic,23,6,1,0,8,simultaneous,0.359375,11,6,1,1,4,0.34375,-0.5
RST,Tai,Sandra,14,dyadic,1,1,0,0,4,left,0.03125,1,1,0,0,4,0.03125,0
RST,Tai,Sandra,15,triadic,24,0,4,2,8,cons_left,0.375,11,0,4,4,4,0.34375,0.5
RST,Tai,Sandra,16,dyadic,18,5,0,0,4,right,0.5625,18,5,0,0,4,0.5625,0
SAT,Azibo,Tai,1,triadic,16,0,3,0,8,cons_left,0.25,6,0,3,3,4,0.1875,0.5
SAT,Azibo,Tai,2,dyadic,10,3,2,2,4,left,0.3125,10,3,2,2,4,0.3125,0
SAT,Azibo,Tai,3,triadic,12,0,0,1,8,simultaneous,0.1875,1,0,0,0,4,0.03125,-0.5
SAT,Azibo,Tai,4,dyadic,10,3,2,2,4,right,0.3125,10,3,2,2,4,0.3125,0
SAT,Azibo,Tai,5,triadic,39,1,7,6,8,cons_right,0.609375,18,1,7,7,4,0.5625,0.5
SAT,Azibo,Tai,6,dyadic,17,6,3,3,4,left,0.53125,17,6,3,3,4,0.53125,0
SAT,Azibo,Tai,7,triadic,28,1,2,5,8,cons_left,0.4375,9,1,2,2,4,0.28125,0.5
SAT,Azibo,Tai,8,dyadic,10,2,2,2,4,right,0.3125,10,2,2,2,4,0.3125,0
SAT,Azibo,Tai,9,triadic,35,6,4,3,8,simultaneous,0.546875,19,6,4,4,4,0.59375,-0.5
SAT,Azibo,Tai,10,dyadic,16,3,4,4,4,left,0.5,16,3,4,4,4,0.5,0
SAT,Azibo,Tai,11,triadic,28,2,5,3,8,cons_right,0.4375,14,2,5,5,4,0.4375,0.5
SAT,Azibo,Tai,12,dyadic,15,3,4,4,4,right,0.46875,15,3,4,4,4,0.46875,0
SAT,Azibo,Tai,13,triadic,37,5,5,4,8,simultaneous,0.578125,19,5,5,5,4,0.59375,-0.5
SAT,Azibo,Tai,14,dyadic,12,3,2,2,4,left,0.375,12,3,2,2,4,0.375,0
SAT,Azibo,Tai,15,triadic,22,2,3,3,8,simultaneous,0.34375,11,2,3,3,4,0.34375,-0.5
SAT,Azibo,Tai,16,dyadic,9,2,4,4,4,right,0.28125,9,2,4,4,4,0.28125,0
SAT,Sandra,Tai,1,triadic,27,3,4,4,8,cons_left,0.421875,14,3,4,4,4,0.4375,0.5
SAT,Sandra,Tai,2,dyadic,10,2,1,1,4,right,0.3125,10,2,1,1,4,0.3125,0
SAT,Sandra,Tai,3,triadic,20,2,2,3,8,simultaneous,0.3125,9,2,2,2,4,0.28125,-0.5
SAT,Sandra,Tai,4,dyadic,13,3,2,2,4,left,0.40625,13,3,2,2,4,0.40625,0
SAT,Sandra,Tai,5,triadic,30,3,4,4,8,cons_right,0.46875,12,3,4,4,4,0.375,0.5
SAT,Sandra,Tai,6,dyadic,12,3,3,3,4,right,0.375,12,3,3,3,4,0.375,0
SAT,Sandra,Tai,7,triadic,27,3,2,4,8,cons_left,0.421875,12,3,2,2,4,0.375,0.5
SAT,Sandra,Tai,8,dyadic,13,3,4,4,4,left,0.40625,13,3,4,4,4,0.40625,0
SAT,Sandra,Tai,9,triadic,33,5,6,1,8,simultaneous,0.515625,19,5,6,6,4,0.59375,-0.5
SAT,Sandra,Tai,10,dyadic,11,3,2,2,4,right,0.34375,11,3,2,2,4,0.34375,0
SAT,Sandra,Tai,11,triadic,29,2,3,3,8,cons_right,0.453125,14,2,3,3,4,0.4375,0.5
SAT,Sandra,Tai,12,dyadic,18,6,3,3,4,left,0.5625,18,6,3,3,4,0.5625,0
SAT,Sandra,Tai,13,triadic,31,6,4,4,8,simultaneous,0.484375,17,6,4,4,4,0.53125,-0.5
SAT,Sandra,Tai,14,dyadic,10,2,3,3,4,right,0.3125,10,2,3,3,4,0.3125,0
SAT,Sandra,Tai,15,triadic,23,2,4,3,8,simultaneous,0.359375,11,2,4,4,4,0.34375,-0.5
SAT,Sandra,Tai,16,dyadic,17,4,3,3,4,left,0.53125,17,4,3,3,4,0.53125,0
TSF,Sandra,Frodo,1,triadic,12,7,0,1,8,simultaneous,0.1875,7,7,0,0,4,0.21875,-0.5
TSF,Sandra,Frodo,2,dyadic,9,6,1,1,4,right,0.28125,9,6,1,1,4,0.28125,0
TSF,Sandra,Frodo,3,triadic,18,7,2,1,8,cons_left,0.28125,12,7,2,2,4,0.375,0.5
TSF,Sandra,Frodo,4,dyadic,8,0,2,2,4,left,0.25,8,0,2,2,4,0.25,0
TSF,Sandra,Frodo,5,triadic,15,3,0,5,8,simultaneous,0.234375,5,3,0,0,4,0.15625,-0.5
TSF,Sandra,Frodo,6,dyadic,3,2,0,0,4,right,0.09375,3,2,0,0,4,0.09375,0
TSF,Sandra,Frodo,7,triadic,19,0,4,2,8,cons_right,0.296875,8,0,4,4,4,0.25,0.5
TSF,Sandra,Frodo,8,dyadic,17,6,3,3,4,left,0.53125,17,6,3,3,4,0.53125,0
TSF,Sandra,Frodo,9,triadic,15,2,2,0,8,cons_left,0.234375,9,2,2,2,4,0.28125,0.5
TSF,Sandra,Frodo,10,dyadic,11,1,3,3,4,right,0.34375,11,1,3,3,4,0.34375,0
TSF,Sandra,Frodo,11,triadic,17,0,1,2,8,simultaneous,0.265625,6,0,1,1,4,0.1875,-0.5
TSF,Sandra,Frodo,12,dyadic,8,2,2,2,4,left,0.25,8,2,2,2,4,0.25,0
TSF,Sandra,Frodo,13,triadic,16,4,3,4,8,cons_right,0.25,11,4,3,3,4,0.34375,0.5
TSF,Sandra,Frodo,14,dyadic,11,3,3,3,4,right,0.34375,11,3,3,3,4,0.34375,0
TSF,Sandra,Frodo,15,triadic,24,3,4,4,8,simultaneous,0.375,10,3,4,4,4,0.3125,-0.5
TSF,Sandra,Frodo,16,dyadic,12,4,1,1,4,left,0.375,12,4,1,1,4,0.375,0
TSF,Tai,Frodo,1,triadic,12,0,0,0,8,simultaneous,0.1875,0,0,0,0,4,1e-4,-0.5
TSF,Tai,Frodo,2,dyadic,7,6,0,0,4,left,0.21875,7,6,0,0,4,0.21875,0
TSF,Tai,Frodo,3,triadic,1,0,0,0,8,cons_left,0.015625,1,0,0,0,4,0.03125,0.5
TSF,Tai,Frodo,4,dyadic,2,0,0,0,4,right,0.0625,2,0,0,0,4,0.0625,0
TSF,Tai,Frodo,5,triadic,3,2,0,0,8,simultaneous,0.046875,2,2,0,0,4,0.0625,-0.5
TSF,Tai,Frodo,6,dyadic,0,0,0,0,4,left,1e-4,0,0,0,0,4,1e-4,0
TSF,Tai,Frodo,7,triadic,6,1,2,0,8,cons_right,0.09375,5,1,2,2,4,0.15625,0.5
TSF,Tai,Frodo,8,dyadic,13,0,6,6,4,right,0.40625,13,0,6,6,4,0.40625,0
TSF,Tai,Frodo,9,triadic,11,1,0,8,8,cons_left,0.171875,2,1,0,0,4,0.0625,0.5
TSF,Tai,Frodo,10,dyadic,9,1,1,1,4,left,0.28125,9,1,1,1,4,0.28125,0
TSF,Tai,Frodo,11,triadic,9,0,0,4,8,simultaneous,0.140625,1,0,0,0,4,0.03125,-0.5
TSF,Tai,Frodo,12,dyadic,6,2,4,4,4,right,0.1875,6,2,4,4,4,0.1875,0
TSF,Tai,Frodo,13,triadic,20,6,3,0,8,cons_right,0.3125,9,6,3,3,4,0.28125,0.5
TSF,Tai,Frodo,14,dyadic,6,1,1,1,4,left,0.1875,6,1,1,1,4,0.1875,0
TSF,Tai,Frodo,15,triadic,5,1,0,1,8,simultaneous,0.078125,1,1,0,0,4,0.03125,-0.5
TSF,Tai,Frodo,16,dyadic,4,0,3,3,4,right,0.125,4,0,3,3,4,0.125,0
