triad_id,responder_id,session,trial,game_type,type_trial,responder_choice_side,offer,proposer_id,accepted
TSF,Frodo,1,1,triadic,simultaneous,R,0,Tai,FALSE
TSF,Frodo,1,1,triadic,simultaneous,R,7,Sandra,TRUE
TSF,Frodo,1,2,triadic,simultaneous,na,0,Tai,FALSE
TSF,Frodo,1,2,triadic,simultaneous,na,0,Sandra,FALSE
TSF,Frodo,1,3,triadic,simultaneous,na,0,Tai,FALSE
TSF,Frodo,1,3,triadic,simultaneous,na,0,Sandra,FALSE
TSF,Frodo,1,4,triadic,simultaneous,na,0,Tai,FALSE
TSF,Frodo,1,4,triadic,simultaneous,na,0,Sandra,FALSE
TSF,Frodo,1,5,triadic,cons_right,R,3,Tai,FALSE
TSF,Frodo,1,5,triadic,cons_right,R,4,Sandra,TRUE
TSF,Frodo,1,6,triadic,cons_right,L,8,Tai,TRUE
TSF,Frodo,1,6,triadic,cons_right,L,0,Sandra,FALSE
TSF,Frodo,1,7,triadic,cons_left,R,1,Tai,FALSE
TSF,Frodo,1,7,triadic,cons_left,R,0,Sandra,TRUE
TSF,Frodo,1,8,triadic,cons_left,L,0,Tai,TRUE
TSF,Frodo,1,8,triadic,cons_left,L,1,Sandra,FALSE
TSF,Frodo,2,1,dyadic,left,L,6,Tai,TRUE
TSF,Frodo,2,2,dyadic,left,L,1,Tai,TRUE
TSF,Frodo,2,3,dyadic,right,R,6,Sandra,TRUE
TSF,Frodo,2,4,dyadic,right,na,0,Sandra,FALSE
TSF,Frodo,2,5,dyadic,left,na,0,Tai,FALSE
TSF,Frodo,2,6,dyadic,left,na,0,Tai,FALSE
TSF,Frodo,2,7,dyadic,right,R,2,Sandra,TRUE
TSF,Frodo,2,8,dyadic,right,R,1,Sandra,TRUE
TSF,Frodo,3,1,triadic,cons_left,L,7,Sandra,TRUE
TSF,Frodo,3,1,triadic,cons_left,L,0,Tai,FALSE
TSF,Frodo,3,2,triadic,cons_left,L,3,Sandra,TRUE
TSF,Frodo,3,2,triadic,cons_left,L,0,Tai,FALSE
TSF,Frodo,3,3,triadic,cons_right,R,0,Sandra,FALSE
TSF,Frodo,3,3,triadic,cons_right,R,1,Tai,TRUE
TSF,Frodo,3,4,triadic,cons_right,L,2,Sandra,TRUE
TSF,Frodo,3,4,triadic,cons_right,L,0,Tai,FALSE
TSF,Frodo,3,5,triadic,simultaneous,na,0,Sandra,FALSE
TSF,Frodo,3,5,triadic,simultaneous,na,0,Tai,FALSE
TSF,Frodo,3,6,triadic,simultaneous,L,5,Sandra,TRUE
TSF,Frodo,3,6,triadic,simultaneous,L,0,Tai,FALSE
TSF,Frodo,3,7,triadic,simultaneous,na,0,Sandra,FALSE
TSF,Frodo,3,7,triadic,simultaneous,na,0,Tai,FALSE
TSF,Frodo,3,8,triadic,simultaneous,L,1,Sandra,TRUE
TSF,Frodo,3,8,triadic,simultaneous,L,0,Tai,FALSE
TSF,Frodo,4,1,dyadic,right,na,0,Tai,FALSE
TSF,Frodo,4,2,dyadic,right,R,2,Tai,TRUE
TSF,Frodo,4,3,dyadic,left,na,0,Sandra,FALSE
TSF,Frodo,4,4,dyadic,left,L,6,Sandra,TRUE
TSF,Frodo,4,5,dyadic,right,na,0,Tai,FALSE
TSF,Frodo,4,6,dyadic,right,na,0,Tai,FALSE
TSF,Frodo,4,7,dyadic,left,na,0,Sandra,FALSE
TSF,Frodo,4,8,dyadic,left,L,2,Sandra,TRUE
TSF,Frodo,5,1,triadic,simultaneous,L,2,Tai,TRUE
TSF,Frodo,5,1,triadic,simultaneous,L,3,Sandra,FALSE
TSF,Frodo,5,2,triadic,simultaneous,R,0,Tai,FALSE
TSF,Frodo,5,2,triadic,simultaneous,R,2,Sandra,TRUE
TSF,Frodo,5,3,triadic,simultaneous,na,0,Tai,FALSE
TSF,Frodo,5,3,triadic,simultaneous,na,0,Sandra,FALSE
TSF,Frodo,5,4,triadic,simultaneous,na,0,Tai,FALSE
TSF,Frodo,5,4,triadic,simultaneous,na,0,Sandra,FALSE
TSF,Frodo,5,5,triadic,cons_left,L,1,Tai,TRUE
TSF,Frodo,5,5,triadic,cons_left,L,0,Sandra,FALSE
TSF,Frodo,5,6,triadic,cons_left,na,0,Tai,FALSE
TSF,Frodo,5,6,triadic,cons_left,na,0,Sandra,FALSE
TSF,Frodo,5,7,triadic,cons_right,R,0,Tai,FALSE
TSF,Frodo,5,7,triadic,cons_right,R,5,Sandra,TRUE
TSF,Frodo,5,8,triadic,cons_right,R,0,Tai,FALSE
TSF,Frodo,5,8,triadic,cons_right,R,5,Sandra,TRUE
ARD,Dorien,1,1,dyadic,left,L,8,Azibo,TRUE
ARD,Dorien,1,2,dyadic,left,L,7,Azibo,TRUE
ARD,Dorien,1,3,dyadic,right,R,3,Riet,TRUE
ARD,Dorien,1,4,dyadic,right,R,6,Riet,TRUE
ARD,Dorien,1,5,dyadic,left,L,2,Azibo,TRUE
ARD,Dorien,1,6,dyadic,left,L,1,Azibo,TRUE
ARD,Dorien,1,7,dyadic,right,R,2,Riet,TRUE
ARD,Dorien,1,8,dyadic,right,R,2,Riet,TRUE
TSF,Frodo,6,1,dyadic,right,R,2,Sandra,TRUE
TSF,Frodo,6,2,dyadic,right,R,1,Sandra,TRUE
TSF,Frodo,6,3,dyadic,left,na,0,Tai,FALSE
TSF,Frodo,6,4,dyadic,left,na,0,Tai,FALSE
TSF,Frodo,6,5,dyadic,right,na,0,Sandra,FALSE
TSF,Frodo,6,6,dyadic,right,na,0,Sandra,FALSE
TSF,Frodo,6,7,dyadic,left,na,0,Tai,FALSE
TSF,Frodo,6,8,dyadic,left,na,0,Tai,FALSE
TSF,Frodo,7,1,triadic,cons_right,R,0,Sandra,FALSE
TSF,Frodo,7,1,triadic,cons_right,R,1,Tai,TRUE
TSF,Frodo,7,2,triadic,cons_right,L,1,Sandra,TRUE
TSF,Frodo,7,2,triadic,cons_right,L,2,Tai,FALSE
TSF,Frodo,7,3,triadic,cons_left,L,3,Sandra,TRUE
TSF,Frodo,7,3,triadic,cons_left,L,0,Tai,FALSE
TSF,Frodo,7,4,triadic,cons_left,L,4,Sandra,TRUE
TSF,Frodo,7,4,triadic,cons_left,L,2,Tai,FALSE
TSF,Frodo,7,5,triadic,simultaneous,na,0,Sandra,FALSE
TSF,Frodo,7,5,triadic,simultaneous,na,0,Tai,FALSE
TSF,Frodo,7,6,triadic,simultaneous,L,3,Sandra,TRUE
TSF,Frodo,7,6,triadic,simultaneous,L,0,Tai,FALSE
TSF,Frodo,7,7,triadic,simultaneous,L,6,Sandra,TRUE
TSF,Frodo,7,7,triadic,simultaneous,L,1,Tai,FALSE
TSF,Frodo,7,8,triadic,simultaneous,L,2,Sandra,TRUE
TSF,Frodo,7,8,triadic,simultaneous,L,0,Tai,FALSE
ARD,Dorien,2,1,triadic,cons_left,L,1,Azibo,TRUE
ARD,Dorien,2,1,triadic,cons_left,L,0,Riet,FALSE
ARD,Dorien,2,2,triadic,cons_left,na,0,Azibo,FALSE
ARD,Dorien,2,2,triadic,cons_left,na,0,Riet,FALSE
ARD,Dorien,2,3,triadic,cons_right,na,0,Azibo,FALSE
ARD,Dorien,2,3,triadic,cons_right,na,0,Riet,FALSE
ARD,Dorien,2,4,triadic,cons_right,L,6,Azibo,TRUE
ARD,Dorien,2,4,triadic,cons_right,L,0,Riet,FALSE
ARD,Dorien,2,5,triadic,simultaneous,L,2,Azibo,TRUE
ARD,Dorien,2,5,triadic,simultaneous,L,0,Riet,FALSE
ARD,Dorien,2,6,triadic,simultaneous,L,2,Azibo,TRUE
ARD,Dorien,2,6,triadic,simultaneous,L,0,Riet,FALSE
ARD,Dorien,2,7,triadic,simultaneous,na,0,Azibo,FALSE
ARD,Dorien,2,7,triadic,simultaneous,na,0,Riet,FALSE
ARD,Dorien,2,8,triadic,simultaneous,L,4,Azibo,TRUE
ARD,Dorien,2,8,triadic,simultaneous,L,0,Riet,FALSE
ARD,Dorien,3,1,dyadic,right,R,8,Azibo,TRUE
